#;Тема;Назначена;Модуль;Категория ошибки;Трудозатраты
80934;Падение приложения при выборе маршрута в содержимом ВТМ документ;DMY;Маршруты;regressive;2
80913;[int] Некорректное описание прав пользователей на ЖЦ БО на PG;ADP;Бизнес-объекты;old;1,5
80899;"[int] В отчетах ""Нормы по списку изделий из данного материала..."" отображаются неутвержденные нормы";MNS;Мат. нормативы;new;4,85
80895;У заказчика перестали формироваться наименования операций ТП по правилу;DMY;Техпроцессы;regressive;2,5
80891;Ошибка при  импорте нормы основного материала;MNS;Мат. нормативы;new;4,3
80871;"Ошибка в отчете ""Операции технологического процесса"" в режиме редактирования зависимости операций от пунктов МО";DMY;Техпроцессы;new;3,05
80863;Нет возможности добавить операцию технологического процесса;MNS;Техпроцессы;new;0,2
80862;Падение системы при раскрытии перехода Установа в дереве ТП;DMY;Техпроцессы;old;0,7
80861;Падение при запуске Импорт/Экспорт\ Импорт архива документов из Windchill;ADP;Бизнес-объекты;modification;14,9
80846;[int] Ошибка при открытии отчетов по графикам разработки ТП от ВТМ;MNE;Маршруты;new;2,7
80840;Спецификация договора. Мелкие ошибки в документе;ASA;Договоры;old;10
80831;При ограничении прав на просмотр присоединенных  файлов, это ограничение не проверяется в форме Присоединенные файлы в Почте;ADP;Констр. объекты;old;6
80828;Некорректно работает сортировка в гридах;ADP;Бизнес-объекты;refactoring;5,5
80821;[int] В списке материалов спецификации не отображаются нормы ТП с ссылкой на ТТП;DMY;Мат. нормативы;regressive;3,95
80817;[int] Сломались вкладки окна Свойства ПП;SPS_KAD_KRA_MNE;Планирование заводское;not available;0,3
80805;Не работают расчеты загрузки в ЗЛ и ЗЧМ если привязана панель производства на автокомпоненты (MTC);MNE;FOP/FOS;new;6
80778;[int] Падение при при вызове контекстного меню от перехода в содержимом Установа;DMY;Техпроцессы;new;1,9
80776;"Потоки работ 1.0. Падение при открытии печатной формы из присоединенного окна ""Бизнес-объекты""";AVI;Потоки работ;new;4,8
80747;Производственная программа - не сохраняется Стоимость по исполнителю для производственной работы партии;DMY;Планирование заводское;new;31,25
80722;Отсутствует закладка с комплектовочной картой на переходах в редакторе ТП;DMY;Техпроцессы;old;2,7
80715;"Проблема изменения привязки технологического маршрута и места изготовления в ""Omega Production"" через XML-импорт";DMY;Маршруты;old;3
80596;Ошибка при отмене создания ревизии ;SVA;Финансы;new;2,5
80522;[int] Задвоение норм в отчете Изделия из данного материала;DMY;Мат. нормативы;modification;11,1
80510;Исправить поиск номенклатуры в импорте КВ;REI;Складской учет;new;1,9
80487;"Некорректная работа опции ""Значение всегда зафиксировано"" частично-вычислимого атрибута";DMY;Техпроцессы;support;3,5
80470;Ожидания при выполнении select create_omp_tmp_tables(), блокировки LWLock: BufferMapping, Lock: tuple;BEA;FOP/FOS;modification;25,8
80453;Ошибка подбора партий при комплектовании по КВ ;REI;Складской учет;new;10
80404;[int] Неправильное определение типа варианта;MNE;FOP/FOS;new;20
80338;Ошибка группового редактирования атрибутов с типом дата  ;SSB;Упр. качеством;new;2,5
80328;Расчет фактического отпуска номенклатуры на заказ. Взаимозаменяемые элементы не сгруппированы;SSB;Снабжение;not available;4
80274;[int] PostgreSQL: Ошибка PostgreSQL [23502] - при обновлении работника без отчества;ADP;Базовые справочники;postgre;2,4
80226;[int] PostgreSQL: Ошибка PostgreSQL [42703] - при удалении цены;SPS_KAD_KRA_MNE;Цены;not available;0,4
80167;Не работает групповое редактирование  в электронном паспорте изделия;AVS;Упр. качеством;not available;0,5
80166;Вкладка Состав серийного объекта.Номер экземпляра не отображается, хотя в спецификации заказ указан тип основной ;AVS;Упр. качеством;code64;3,5
80140;"Слетает сортировка, после внесения изменений. Справочник ""Единицы измерения""";PVA;Базовые справочники;modification;3
80110;[int] Некорректное отображение данных сборочного материала в таблице содержимого спецификации;PMG;Констр. объекты;not available;0,45
79979;[int] Не корректная сортировка отчета Учет простоев оборудования по дате начала;MSV;Оборудование;old;5,7
79845;[int] Ошибка Oracle ORA-01854 - выходит один раз и пропадает;SVA;Планирование заводское;regressive;10,7
79746;[int] Некорректный расчет стоимости операции МЛ по формуле;AVS_SAV_CHIG_SSB_REI_ASA;Учет в производстве;support;6,3
79742;Ошибка открытия БО от работы в списке моих работ;MSV;Оборудование;new;4,3
79738;Некорректные коэффициенты пересчета для цены и подсчет стоимости в отчете по фактическому отпуску номенклатуры на заказ;SSB;Снабжение;old;7,8
78874;График загрузки единиц оборудования от ПП - множество ошибок;SPS;Планирование заводское;regressive;15,25
78289;"[int] Не полное отображение истории изменения маршрута по ккм ""История технологических изменений/технологических маршрутов""";MNS;Маршруты;modification;5,5
78267;Падение Омеги при редактировании св-в задачи в списке общих проектов;GIY;Планирование проектное;not available;7,5
82082;Импорты МЭТЗ из Imbase игнорируют проверку уникальности БО;PVA;Констр. объекты;new;5
82073;Исправление падения при импорте;ADP;Бизнес-объекты;new;1,5
82071;[int] В xml-структуру выгрузки ТП попадают данные об основном материале и  нормах расхода основного материала;DMY;Техпроцессы;support;1
82036;[int] При установке активности ТП с ТКУ устанавливается связь ТП с ТКУ.;DMY_GIY_BEA_MNS_MSV;Техпроцессы;support;1
82012;[int] Ошибка установки активности сквозного ТП при добавления ТП копированием;DMY;Техпроцессы;regressive;2,2
82008;Ошибка PostgreSQL [42601] при изменении номенклатуры складской карточки;AVI;Складской учет;postgre;5
82001;[int] Ошибка копирования КЭ с техпроцессом;DMY;Техпроцессы;old;2,9
81999;"Калькуляция. При формировании от РасчОб значения статей ""На единицу"" = 0";KRA;Нормативные затраты;new;1,2
81968;Справочник ТЭР. Изменить подпись окна Истории изменения;KRA;Нормативные затраты;old;0
81936;PostgreSQL: Ошибка PostgreSQL [42703] - при создании складской карточки;AVI;Складской учет;postgre;4
81930;[int] Копирование трудовых нормативов на ревизию КЭ при отключенном НС 212;DMY;Трудовые нормативы;support;2,25
81924;Невозможно удалить МЛ у которых не заданы серийные номера ;CHIG;Учет в производстве;new;1
81923;"Ошибка при удалении объектов со статусом ""Проект.""";DMY;Маршруты;old;5,5
81910;Ошибка выгрузки данных по вспомогательным нормам в 1С:управление кооперацией;CHIG;Разное;new;2,5
81901;Нормативные затраты. Некорректно зачитываются данные по Месту изготовления при запуске расчета из Списка объектов;KRA;Нормативные затраты;new;1
81896;[int] Падение системы при перенумерации операции в редакторе ТП;DMY;Техпроцессы;regressive;1,9
81859;Не снимается блокировка с КСО ЗЛ/ЗЧМ;MNE;FOP/FOS;new;0,5
81855;Ошибка ора при попытки создания втм ;KPA;Маршруты;postgre;1
81850;"В Отчет ""Трудоемкость и стотиомсть операций.. попадают не все операции ТП";DMY;Техпроцессы;old;6,4
81847;"Потоки работ 2.0. Отсутствует команда на запуск потока от объекта типа ""Комплектовочная ведомость""";BIV;Потоки работ;old;4,5
81841;Падает омега при импорте работника ;SAV;Базовые справочники;new;1,5
81831;[int] Ошибка при утверждении КСО А/П/БС;MNE;FOP/FOS;new;3,95
81823;Не рассчитывается стоимость операции;DMY;Техпроцессы;modification;2,95
81821;Падение Омеги на версии Weekly при формировании отчета по ВТТ\неВТТ от содержимого калькуляции;KRA;Нормативные затраты;new;2,2
81795;Синхронизация заказа не учитывает изменения количества при копировании сущности «Дополнение»;KAD;Планирование заводское;new;8
81789;"[int] В отчетах ""Изделия из"" без учета применяемости отображаются КЭ с неутвержденными и аннулированными нормами";DMY;Мат. нормативы;support;4,3
81788;Ошибка в логе при конвертации иллюстраций;MNS;Техпроцессы;new;0,6
81783;[int] Не отображается значение атрибута-ссылки на предприятие в атрибуте;ADP;Бизнес-объекты;not available;1,3
81782;Ошибки печати комплектовочной карты - не выводится обозначение Стандартного изделия;DMY;Техпроцессы;old;7,4
81753;Не отображаются данные в колонках, добавленных черех редактор колонок;MAR;Базовые справочники;modification;4,5
81748;Ошибка в слове при верификации ТП;DMY;Техпроцессы;new;0,55
81735;Ошибка доступа к отчет «Результаты последней актуализации» ПП при изменении планируемых элементов;KAD;Планирование заводское;new;8,1
81734;[int] При смене родителя КЭ и при наличии аннул ТП наследуется активная связка с аннул тп;DMY;Техпроцессы;old;9
81716;Ошибка актуализации ПП при удалении планируемых элементов;KAD;Планирование заводское;new;4,25
81711;Не отображается ФО в операции МЛ;CHIG;Учет в производстве;old;1,2
81703;Ошибка при создании маршрута на PG;DMY;Маршруты;postgre;2,45
81698;Ошибка PostgreSQL [42601] при открытии содержимого ИИ трудовых нормативов;PMG;Объекты системы;new;4,85
81691;"Падение Омеги при открытии ""Выборки по всем изделиям""  на App32";AVI;Констр. объекты;modification;8
81680;Мастер формирования планов. Слетает кол-во одновременно запускаемых ПП в Планировщике;CHIG;Планирование цеховое;new;0,5
81670;"Некорректная работа отчета ""Список ТП элементов сохраненного заказа""";DMY;Заказы;regressive;2,5
81664;"Не корректно работает переменная ""Маршрут по входимости"" в провайдере печати 344-Сохраненный состав заказа";DMY;Заказы;old;4,25
81663;"Исправить отображение атрибута ""Полная норма"" в присоединенной форме ""Партии ПП"" к РО";AVS;Снабжение;modification;1,3
81661;Не работают отчеты APEX на Постгре перенесенные ранее в Омегу ;PMG;Разное;postgre;38,2
81660;"[int] Скрыть кнопку ""Экспорт в PDF"" в тулбаре";MAR;Констр. объекты;modification;6
81659;Некорректная работа с ведением оснастки на операции ТП. Проявляется начиная с Weekly-релиза;DMY;Техпроцессы;old;2,6
81642;Некорректная работа Заголовка в отчетах без входного фильтра. Часть 2;KRA;Нормативные затраты;old;2,1
81632;[int] При открытии исполнителя операции ТТП всплывает ошибка создания SO исполнителя;DMY;Техпроцессы;new;3
81629;[int] Ошибка при попытке открытия ккм от извещения;MNS;ТПП;new;5,75
81624;Ошибка PostgreSQL [42601] при открытии актов переработки УП ;PMG;Учет в производстве;postgre;12,2
81621;Ошибка PostgreSQL [57014] и зависание приложения при открытии списка Требований;AVI;Складской учет;postgre;0
81619;Ошибка PostgreSQL [42883] при открытии списка Лимитных карт;ADP;Складской учет;postgre;13,5
81618;Ошибка PostgreSQL [42703] при открытии списка Приходных ордеров;AVI;Складской учет;postgre;28
81611;Ошибка открытия опций расчета ПП;KAD;Планирование заводское;new;9,95
81608;"Ошибка при удалении объектов со статусом ""Проект.""";PMG_ADP_BIV_KYD_MPS;Констр. объекты;old;0
81605;[int] Не могу добавить норму вспомогательного материала на деталь;DMY;Мат. нормативы;not available;3,2
81594;В отчет потребности в мат-лах от КЭ из редактора новой ревизии ТП не попадают вспомогательные материалы ТП;DMY;Техпроцессы;zakazchik;4,05
81589;"В фильтре отчета ""Технологические материалы"" осутствует фильтрация по атрибутам";DMY;Объекты системы;old;3,2
81578;"Не работает сортировка в окне ""Список извещений на изменение"" ";AVI;Разное;new;13,7
81562;Ошибка PostgreSQL [42703] при открытии Складской учет\ Акты\ Акт переработки;AVS_SAV_CHIG_SSB_REI_ASA;Складской учет;postgre;0,45
81560;"[int] Исправить работу сортировки по полям ""Относится к типу"" и ""Соответствует содержимому""";MAR;Объекты системы;modification;2,6
81556;Корректировка скрипта adp_2025_06_20.pgsql;ADP;Констр. объекты;postgre;1
81552;Неправильно формируются операции с тп в ЦПГ 2.0;SSB;Планирование цеховое;not available;1
81546;[int] Некорекктные данные в списке объектов системы;PMG;Объекты системы;old;3,3
81544;[int] Восстановление синхронизации времени для переходов;DMY;Техпроцессы;old;4,35
81535;Ошибка при вводе нового оборудования;ADP;Оборудование;old;1
81534;[int] Не отображается сохраненная выборка от задачи по общему БО;ADP;Бизнес-объекты;old;9
