#;Тема;Назначена;Модуль;Категория ошибки;Трудозатраты
76348;Информация о материалах операции выводится в случайном порядке, cортировка на строке в TE  перераспределяет настройки вывода печатной формы;KBA;Templates Editor;not available;2,95
76339;Ошибка при выполнении blocks.changeSheetBlockOrder;CHIG;FOP/FOS;regressive;2,7
76334;При создании ТП зависимого от заказа/экземпляра зависимость сразу после создания не отображается;DMY;Техпроцессы;old;2,5
76326;Провайдер печати;SSB;Templates Editor;postgre;10,4
76317;[int] Доступны все цеха для операции ТП при установленном ограничении в классификаторе тех. операции;DMY;Техпроцессы;old;0,8
76315;[int] В сводной потребности материалов нет норм расхода для техпроцессов;DMY;Мат. нормативы;not available;3
76305;Некорректная сортировка в составе КВ;ASA;Учет в производстве;new;2,5
76304;[int] [НЕ ДОКРУЧИВАТЬ] Ошибка Oracle ORA-01407 при удалении материала;AVS;Мат. нормативы;new;13,31
76302;отображение удаленных тарифных ставок;DMY_GIY_BEA_MNS_MSV;Техпроцессы;support;2,1
76290;В отчет по неликвидам попадает номенклатура складских карточек созданных после даты окончания периода формирования отчета;REI;Складской учет;postanovka;7
76259;Ошибка при копировании ТП через команду к.м. от КЭ Техпроцессы/Копирование ТП;DMY;Техпроцессы;regressive;1,6
76245;"Классификатор ""Серии и модели"". Ошибки";ADP;Классификаторы;old;3,3
76241;Ошибка импорта цен;KAD;Цены;new;13,2
76235;Задваивается состав элементов блока замен по Карте разрешения с типом замены Автоматическое определение;PMG;Констр. объекты;not available;1,5
76234;"Ошибка при открытии списка комплектующих в справочнике ""Предприятия""";AVS;Базовые справочники;regressive;2,2
76233;[int] Ошибка Oracle ORA-04063;AVS;Констр. объекты;not available;2,5
76217;Падение при удалении операции из редактора ТП;DMY;Техпроцессы;support;2,9
76215;[int] В классификаторе тех операций падение при поиске;MPS;Техпроцессы;refactoring;7,9
76214;[int] Ошибка Oracle ORA-00907 при расчете сводной потребности в материалах;DMY;Техпроцессы;new;0,4
76213;Не происходит смена реквизитов операции в ТП (Цех, вид производства) при смене тех операции в редакторе ТП;DMY;Техпроцессы;old;4
76211;Ошибка при создании ВЗН;AVS_SAV_CHIG_SSB_REI_ASA;Учет в производстве;not available;0,2
76209;Автоматически создается маркер в печатной форме;SSB;Упр. качеством;new;6
76194;Диалог с сохранением при переключении между операциями ТП на влкадке Свойства;DMY;Техпроцессы;modification;3,9
76191;"При открытии Обьектов Учета появляется окно ""Дублирование команд меню"" ";AVS_SAV_CHIG_SSB_REI_ASA;Учет в производстве;regressive;1,2
76185;Импотрт xml извещения - вместо ИИ.0001.0002 загружается ????.0001.0002;PMG;Констр. ИИ;refactoring;3,5
76183;Ошибка передачи ВЗН из кладовой в цех ;SAV;Складской учет;new;8,3
76169;Ошибка удаления машины в КСО ЗЧМ;CHIG;FOP/FOS;new;15
76147;Создание спецификации заказа с неуказанным типом;ADP;Констр. объекты;old;3
76146;"Ошибка при формировании КР ""'Полная норма 1' не может иметь отрицательное значение!""";PMG;Мат. нормативы;old;2
76141;[int] Падение при импорте ТП через универсальный XML-импорт;DMY;Техпроцессы;modification;2,25
76119;при проставлении кол-ва ошибка PG ;KYD;Констр. объекты;old;5
76118;Некорректное поведение системы при работе с Списками планов ( оповещение о Ошибке в работе с Свойствами элементов плана);KAD;Планирование заводское;old;3,65
76098;При создании ревизии тп дублируются документы родительского тп;DMY;Техпроцессы;old;2
76082;[int] Ошибка при выборе профессии на операции ТП;DMY;Техпроцессы;new;6,5
76061;[int] Увеличение использования оперативной памяти клиентом при открытии пустого списка КЭ с присоединенной формой по ТП;DMY;Техпроцессы;old;2,1
76035;Некорректно работает алгоритм, подсуммирование по группам.;AVS;Складской учет;new;0
76032;[int] Ошибка при загрузке печатной формы ВДИ;DMY;Техпроцессы;old;1,5
76015;При удалении УП на операции ТП, УП удаляется со всех операций ТП.;DMY;Оборудование;old;3,25
76009;Ошибка в определении базовой единицы измерения по умолчанию в Базовом справочнике единиц измерения ;KYD;Базовые справочники;old;4,2
76007;Ошибка дублей складских  карточек ;SAV;Складской учет;old;1
75985;Ошибка при создании загрузки (КСО ЗЛ/ЗЧМ);GIY;FOP/FOS;new;1,8
75982;Нет визуализации курсора;CHIG;Снабжение;new;3,7
75979;Ошибка загрузки данных DMO: Получен невалидный(пустой) json по запросу к DMO;GIY;FOP/FOS;new;24,4
75978;[int] Объединить дублирующиеся команды контекстного меню История для технологического материала;DMY;Мат. нормативы;regressive;4,8
75970;Вопрос про формирование ВТМ. Не попадает маршрут заготовки с зависимостью от применяемости;DMY;Маршруты;old;1,6
75966;Анализ корректности ведения режимов работы - некорректные данные отчета;SPS;Базовые справочники;new;10
75940;"Невозможно отредактировать атрибуты объекта по ккм ""Редактировать атрибуты объекта""";ADP;Констр. ИИ;not available;0,8
75928;Не отрабатывает автоматическое распределение приходного количества по заявкам;SAV;Складской учет;new;13,1
75902;"Ошибка при переходе со вкладки ""Материалы"" в карточке свойств детали";KYD;Констр. объекты;new;8,4
75884;Система позволяет пользователям добавлять в состав ПО в статусе Утв и В раб новые позиции перетаскиванием из Знр (по Drag-and-drop).;ASA;Складской учет;new;5,3
75873;Ошибка в выводе на печать ПФ при условии, что у пользователя нет права на вывод печати ПФ;ADP;Бизнес-объекты;old;3,8
75831;Не устанавливается связь  ревизии КЭ с  УП при наличии нескольких ревизий ТП и КЭ;DMY;Оборудование;old;13,55
75828;[int] Некорректное значение типа ТП в гриде отчета по ТП;DMY;Техпроцессы;new;2,55
75783;"При копировании ТП по ккм  ""Копировать техпроцесс""  не верно отображается КЭ в карточке свойств УП . В созданном ТП отсутствует УП";DMY;Оборудование;modification;9,95
75734;Не верное отображение Применимости в форме    МГ041401 и МГ041401A;MSV;Мат. нормативы;new;9,85
75728;Потоки работ 2.0. Отработка условия с параметром после блокировки;BIV;Потоки работ;regressive;28,6
75726;Ошибка PostgreSQL [42P01]\r\n при выполнении additionals.CheckOKTPValidity;GIY;FOP/FOS;new;10,6
75725;Ошибка копирования ФСК;PMG;Констр. объекты;old;1
75690;"АИЗП. Ошибка ""Не заданы Маршрутные листы на заимствование"" при автоматическом переводе статуса АИЗП";SAV;Учет в производстве;new;2
75678;Ошибка при пакетном закрытии операций МЛ ;ASA;Учет в производстве;new;16,8
75640;Не происходит вставка блока замен (ВПЗ Д28), при добавлении элемента в спецификацию (хотя должно);KYD;Констр. объекты;old;98
75600;В расчет потребности в материалах не попадает норма расхода вспомогательного материала;DMY;Мат. нормативы;old;3
75580;При расчёте планов не выводится ошибка об отсутствии маршрута по назначению. И связанные ошибки;KAD;Планирование заводское;old;16
75574;[int] В сводной потребности по материалам нет нормы расхода для заготовки;SPS;Мат. нормативы;regressive;12
75554;Элемент сохраняется как выписанный после удаления из выписки;PMG;Констр. ИИ;zakazchik;1,25
75371;[int] Не сохраняется основной материал на деталь через карточку свойств детали;MNS;Констр. объекты;new;20,3
75360;Ошибка вывода данных об исполнителях в отчете Операции техпроцессов по составу изделий ;DMY;Техпроцессы;old;7,23
75298;Проблема с зависанием при запуске приложения;KAD;Разное;new;3,5
